ZONE 1; wall=Boundary_Left_0011; min body clearance=5,88m; center=(-19.112, 1.250, 49.099)
person 07; pose=Female_Standing_CoveringEyes; pos=(164.411, 0.123, 279.359); yaw=167,21
person 08; pose=Male_Standing; pos=(166.515, 0.107, 279.465); yaw=183,86
person 09; pose=Female_Standing_Hips; pos=(168.313, 0.052, 280.127); yaw=187,12
person 10; pose=Male_Standing_Waving; pos=(161.250, 0.410, 281.985); yaw=176,13
person 11; pose=Female_Standing_CoveringEyes; pos=(163.069, 0.496, 281.905); yaw=174,95
person 12; pose=Male_Standing; pos=(164.213, 0.468, 281.662); yaw=189,55
person 13; pose=Female_Standing_Hips; pos=(166.701, 0.416, 281.693); yaw=192,25
person 14; pose=Male_Standing_Waving; pos=(167.952, 0.308, 281.976); yaw=185,97
person 15; pose=Female_Standing_CoveringEyes; pos=(161.127, 0.707, 283.560); yaw=165,00
person 16; pose=Male_Standing; pos=(162.380, 0.934, 283.945); yaw=177,48
person 17; pose=Female_Standing_Hips; pos=(164.200, 1.070, 283.997); yaw=182,47
person 18; pose=Male_Standing_Waving; pos=(166.978, 0.631, 282.983); yaw=169,32
person 19; pose=Female_Standing_CoveringEyes; pos=(168.814, 0.241, 282.948); yaw=198,86
ZONE 4; wall=Boundary_Left_0138; min body clearance=5,80m; center=(178.957, 1.028, 406.029)
person 00; pose=Female_Standing_Hips; pos=(179.749, -0.409, 401.404); yaw=104,82
person 01; pose=Male_Standing_Waving; pos=(180.766, -0.354, 402.897); yaw=117,44
person 02; pose=Female_Standing_CoveringEyes; pos=(181.967, -0.290, 404.760); yaw=118,00
person 03; pose=Male_Standing; pos=(182.475, -0.222, 406.587); yaw=111,01
person 04; pose=Female_Standing_Hips; pos=(182.884, -0.166, 408.316); yaw=133,34
person 05; pose=Male_Standing_Waving; pos=(178.265, -0.318, 401.694); yaw=102,26
person 06; pose=Female_Standing_CoveringEyes; pos=(179.311, -0.233, 404.157); yaw=121,93
person 07; pose=Male_Standing; pos=(179.912, -0.185, 405.598); yaw=117,16
person 08; pose=Female_Standing_Hips; pos=(180.547, -0.142, 406.992); yaw=130,19
person 09; pose=Male_Standing_Waving; pos=(181.517, -0.072, 409.563); yaw=140,54
person 10; pose=Female_Standing_CoveringEyes; pos=(176.406, -0.134, 402.610); yaw=107,63
person 11; pose=Male_Standing; pos=(177.744, -0.130, 404.421); yaw=126,38
person 12; pose=Female_Standing_Hips; pos=(178.225, -0.023, 406.735); yaw=133,74
person 13; pose=Male_Standing_Waving; pos=(178.601, 0.036, 408.135); yaw=103,90
person 14; pose=Female_Standing_CoveringEyes; pos=(179.864, 0.041, 409.858); yaw=110,64
person 15; pose=Male_Standing; pos=(175.608, 0.033, 403.716); yaw=107,56
person 16; pose=Female_Standing_Hips; pos=(175.822, 0.152, 405.533); yaw=109,28
person 17; pose=Male_Standing_Waving; pos=(176.656, 0.181, 407.231); yaw=119,43
person 18; pose=Female_Standing_CoveringEyes; pos=(177.672, 0.200, 409.087); yaw=134,59
person 19; pose=Male_Standing; pos=(177.619, 0.289, 410.204); yaw=131,75
PASS: 80 added spectators in four groups; 28 combined renderers; minimum full-body barrier clearance 5,38m. Existing scene preserved. 2026-09-21T11:02:34.8637195-03:00
